Order, Latitude, Longitude
3, 40.750127, -73.99155
3, 40.750086, -73.991316
3, 40.749971, -73.991523
3, 40.749988, -73.991652
3, 40.749996, -73.99145799999998
3, 40.750134, -73.99154299999998
3, 40.749956, -73.991444
3, 40.74992, -73.991528
3, 40.750327, -73.991352
3, 40.750071, -73.991461
3, 40.749946, -73.991697
3, 40.75009, -73.991702
3, 40.749883, -73.991703
3, 40.750168, -73.99127799999998
3, 40.750059, -73.991371
3, 40.750009, -73.991403
3, 40.750039, -73.99140099999998
3, 40.750258, -73.99130499999998
3, 40.750002, -73.991467
3, 40.75005, -73.99132199999998
3, 40.750212, -73.991381
3, 40.750221, -73.991411
3, 40.749987, -73.991732
3, 40.749985, -73.991488
3, 40.750069, -73.991348
3, 40.750153, -73.991656
3, 40.74997, -73.991388
3, 40.749875, -73.99152499999998
3, 40.750038, -73.99155899999998
3, 40.750115, -73.991433
3, 40.750155, -73.991285
3, 40.750157, -73.99136
3, 40.750103, -73.99136699999998
3, 40.74984, -73.991473
3, 40.750015, -73.99146899999998
3, 40.749908, -73.99171099999998
3, 40.749924, -73.991376
3, 40.749983, -73.99145199999998
3, 40.75002, -73.991338
3, 40.750055, -73.991327
3, 40.750052, -73.991461
3, 40.750075, -73.991352
3, 40.75007, -73.99149
3, 40.7501, -73.991336
3, 40.749847, -73.99159299999998
3, 40.750022, -73.99129499999998
3, 40.750092, -73.991399
3, 40.749869, -73.9916
3, 40.749889, -73.99151899999998
3, 40.749968, -73.991432
3, 40.750134, -73.99146399999998
3, 40.750007, -73.99133999999998
3, 40.749974, -73.99131099999998
3, 40.75006, -73.99136699999998
3, 40.749926, -73.991539
3, 40.749855, -73.99154299999998
3, 40.749925, -73.99143499999998
3, 40.750055, -73.99129499999998
3, 40.750073, -73.99139599999998
3, 40.750025, -73.991287
3, 40.750205, -73.99136799999998
3, 40.750134, -73.99147499999998
3, 40.749952, -73.991415
3, 40.74992, -73.991675
3, 40.749988, -73.991495
3, 40.750037, -73.99182899999998
3, 40.750252, -73.991281
3, 40.750058, -73.99138999999998
3, 40.750035, -73.991439
3, 40.750028, -73.99143499999998
3, 40.749938, -73.991354
3, 40.750205, -73.991248
3, 40.750295, -73.991254
3, 40.749978, -73.99112499999998
3, 40.750056, -73.991228
3, 40.74987, -73.99132
3, 40.749832, -73.99129999999998
3, 40.750038, -73.99110899999998
3, 40.749866, -73.991299
3, 40.749961, -73.991184
3, 40.749966, -73.991133
3, 40.749883, -73.991307
3, 40.750208, -73.991161
3, 40.7501, -73.991192
3, 40.749835, -73.991242
3, 40.749969, -73.991254
3, 40.750119, -73.99123899999998
3, 40.749949, -73.991254
3, 40.749844, -73.99137799999998
3, 40.74985, -73.991313
3, 40.749912, -73.991275
3, 40.749826, -73.991355
3, 40.749854, -73.991158
3, 40.750029, -73.991196
3, 40.749939, -73.99124399999998
3, 40.749903, -73.991242
3, 40.75011, -73.99110899999998
3, 40.749944, -73.991214
3, 40.750074, -73.99120399999998
3, 40.749985, -73.99123
3, 40.74981, -73.991397
3, 40.74985, -73.99177299999998
3, 40.749783, -73.99137
3, 40.749805, -73.991422
3, 40.749762, -73.991363
3, 40.749812, -73.991515
3, 40.74975, -73.99135699999998
3, 40.749735, -73.991477
3, 40.749775, -73.991372
3, 40.749725, -73.99145699999998
3, 40.749697, -73.991488
3, 40.749725, -73.991489
3, 40.750009, -73.99191
3, 40.749928, -73.991887
3, 40.749747, -73.99132
3, 40.749747, -73.991302
3, 40.749693, -73.991301
3, 40.749659, -73.99148499999998
3, 40.749742, -73.99127199999998
3, 40.749674, -73.991652
3, 40.750545, -73.991365
3, 40.750545, -73.99123299999998
3, 40.750458, -73.99118
3, 40.750393, -73.99124
3, 40.75038, -73.99118
3, 40.750355, -73.99116999999998
3, 40.750497, -73.99141199999998
3, 40.749651, -73.991817
3, 40.749602, -73.991758
3, 40.750368, -73.991028
3, 40.7497, -73.991273
3, 40.74976, -73.991208
3, 40.749583, -73.99146
3, 40.749608, -73.99131
3, 40.749637, -73.991285
3, 40.749747, -73.991152
3, 40.749566, -73.991645
3, 40.749715, -73.99115999999998
3, 40.749993, -73.990993
3, 40.750223, -73.99200299999998
3, 40.749777, -73.99106399999998
3, 40.75012, -73.99088999999998
3, 40.7498, -73.991003
3, 40.749921, -73.99086
3, 40.749775, -73.99102499999998
3, 40.749618, -73.991235
3, 40.749595, -73.991285
3, 40.749593, -73.991268
3, 40.749607, -73.991275
3, 40.749652, -73.99116999999998
3, 40.749668, -73.99113
3, 40.749637, -73.99113699999998
3, 40.749592, -73.99118699999998
3, 40.749543, -73.99133
3, 40.750263, -73.990893
3, 40.749538, -73.99123799999998
3, 40.749637, -73.991022
3, 40.74967, -73.991023
3, 40.750202, -73.99083199999998
3, 40.749515, -73.99147
3, 40.749518, -73.991252
3, 40.749482, -73.991417
3, 40.749472, -73.991325
3, 40.749443, -73.99157499999998
3, 40.749855, -73.99210999999998
3, 40.749508, -73.991163
3, 40.749475, -73.99118699999998
3, 40.74949, -73.991157
3, 40.749467, -73.991183
3, 40.749464, -73.991702
3, 40.749467, -73.99171699999998
3, 40.74949, -73.991757
3, 40.749482, -73.99176
3, 40.750543, -73.991623
3, 40.750687, -73.99111
3, 40.750633, -73.991167
3, 40.750607, -73.991167
3, 40.750792, -73.99128
3, 40.750557, -73.991692
3, 40.74934, -73.99181799999998
3, 40.750336, -73.990808
3, 40.750553, -73.99084
3, 40.749312, -73.99143999999998
3, 40.749433, -73.991068
3, 40.749427, -73.991122
3, 40.749498, -73.991043
3, 40.749407, -73.991112
3, 40.749403, -73.99111999999998
3, 40.749507, -73.990983
3, 40.750288, -73.992087
3, 40.750466, -73.991962
3, 40.749672, -73.990834
3, 40.749443, -73.991004
3, 40.749492, -73.99089999999998
3, 40.749387, -73.991017
3, 40.750378, -73.99064799999998
3, 40.749511, -73.99082799999998
3, 40.74925, -73.99141799999998
3, 40.749282, -73.991512
3, 40.749226, -73.99169999999998
3, 40.749167, -73.991496
3, 40.749227, -73.991735
3, 40.749225, -73.99165999999998
3, 40.74919, -73.991562
3, 40.749315, -73.990914
3, 40.749287, -73.990947
3, 40.749253, -73.99182899999998
3, 40.749291, -73.99186799999998
3, 40.749207, -73.991833
3, 40.749425, -73.992023
3, 40.749373, -73.99203
3, 40.750821, -73.991657
3, 40.750852, -73.99087
3, 40.750932, -73.99147999999998
3, 40.7509, -73.991545
3, 40.751051, -73.991252
3, 40.749112, -73.991873
3, 40.749227, -73.992057
3, 40.749238, -73.99208199999998
3, 40.750495, -73.990683
3, 40.750537, -73.990662
3, 40.750835, -73.990817
3, 40.75084, -73.99076499999998
3, 40.750777, -73.990791
3, 40.750796, -73.99078
3, 40.750699, -73.990673
3, 40.750617, -73.99058499999998
3, 40.750717, -73.990775
3, 40.749123, -73.991465
3, 40.749087, -73.991417
3, 40.749045, -73.991343
3, 40.749042, -73.99133999999998
3, 40.749135, -73.991567
3, 40.749033, -73.991417
3, 40.749226, -73.99087299999998
3, 40.749418, -73.990712
3, 40.749025, -73.991602
3, 40.749043, -73.99194799999998
3, 40.74908, -73.990922
3, 40.748948, -73.991945
3, 40.74896, -73.991968
3, 40.749584, -73.99218399999998
3, 40.750835, -73.990695
3, 40.750988, -73.990864
3, 40.750877, -73.990718
3, 40.750798, -73.990609
3, 40.750905, -73.99069199999998
3, 40.750845, -73.990634
3, 40.751062, -73.990882
3, 40.751008, -73.990897
3, 40.751188, -73.991307
3, 40.751256, -73.991433
3, 40.751273, -73.991163
3, 40.748904, -73.991906
3, 40.748942, -73.992075
3, 40.748964, -73.992199
3, 40.749031, -73.99221699999998
3, 40.749185, -73.992305
3, 40.750859, -73.990476
3, 40.750733, -73.990317
3, 40.75063, -73.990351
3, 40.748828, -73.991397
3, 40.748886, -73.992159
3, 40.748857, -73.99210999999998
3, 40.748795, -73.992112
3, 40.748792, -73.99093499999998
3, 40.749015, -73.99065899999998
3, 40.74874, -73.991997
3, 40.751015, -73.990487
3, 40.751173, -73.99083
3, 40.751134, -73.99061399999998
3, 40.750965, -73.990423
3, 40.751166, -73.99055799999998
3, 40.751273, -73.991023
3, 40.751487, -73.991163
3, 40.748979, -73.99227299999998
3, 40.748997, -73.992525
3, 40.749283, -73.992413
3, 40.751019, -73.990289
3, 40.751063, -73.9903
3, 40.751036, -73.990302
3, 40.750888, -73.990088
3, 40.750847, -73.990142
3, 40.750594, -73.990138
3, 40.748593, -73.992332
3, 40.751298, -73.990415
3, 40.75115, -73.990375
3, 40.751241, -73.990291
3, 40.751332, -73.99031499999998
3, 40.751175, -73.990125
3, 40.751035, -73.990066
3, 40.751052, -73.990002
3, 40.751332, -73.99017999999998
3, 40.750953, -73.98994899999998
3, 40.750643, -73.990013
3, 40.751112, -73.98998799999998
3, 40.750663, -73.989885
3, 40.748443, -73.99249299999998
3, 40.748485, -73.992236
3, 40.748322, -73.99237499999998
3, 40.74859, -73.992599
3, 40.751455, -73.99039899999998
3, 40.751377, -73.990238
3, 40.751418, -73.990306
3, 40.751562, -73.99012899999998
3, 40.751203, -73.989975
3, 40.751157, -73.989762
3, 40.748326, -73.992486
3, 40.748317, -73.99270099999998
3, 40.748432, -73.99275699999998
3, 40.748417, -73.99262
3, 40.748333, -73.99211699999998
3, 40.748437, -73.992011
3, 40.748172, -73.99216199999998
3, 40.748073, -73.99248699999998
3, 40.748659, -73.99285999999998
3, 40.751531, -73.990611
3, 40.751764, -73.990166
3, 40.751709, -73.990064
3, 40.75158, -73.98998299999998
3, 40.751657, -73.989845
3, 40.751424, -73.989801
3, 40.751385, -73.98973499999998
3, 40.748083, -73.992697
3, 40.748109, -73.99280899999998
3, 40.748353, -73.992857
3, 40.74797, -73.992343
3, 40.747943, -73.992333
3, 40.747957, -73.992199
3, 40.74801, -73.992417
3, 40.747951, -73.99274
3, 40.747798, -73.99251499999998
3, 40.751838, -73.989968
3, 40.751847, -73.989968
3, 40.751807, -73.989857
3, 40.751814, -73.98983
3, 40.751507, -73.98972999999998
3, 40.751488, -73.98974
3, 40.75154, -73.98980299999998
3, 40.751681, -73.989633
3, 40.751632, -73.989585
3, 40.751825, -73.98976399999998
3, 40.747935, -73.992765
3, 40.747895, -73.992959
3, 40.748088, -73.99303399999998
3, 40.747762, -73.992542
3, 40.747728, -73.992771
3, 40.747787, -73.992981
3, 40.747743, -73.99285
3, 40.747584, -73.992309
3, 40.75209, -73.989906
3, 40.751883, -73.989643
3, 40.751738, -73.98951499999998
3, 40.751883, -73.98944299999998
3, 40.752038, -73.989624
3, 40.747657, -73.993003
3, 40.747657, -73.99288
3, 40.747852, -73.99317499999998
3, 40.747625, -73.992762
3, 40.74756, -73.992722
3, 40.752233, -73.98984699999998
3, 40.752216, -73.98983
3, 40.752316, -73.989756
3, 40.752125, -73.989633
3, 40.752163, -73.989603
3, 40.75194, -73.98944199999998
3, 40.751906, -73.989312
3, 40.751939, -73.989214
3, 40.752208, -73.98943699999998
3, 40.747288, -73.992715
3, 40.752485, -73.98993299999998
3, 40.752342, -73.98952199999998
3, 40.752413, -73.98946499999998
3, 40.752488, -73.989473
3, 40.752457, -73.989321
3, 40.752555, -73.99016899999998
3, 40.75254, -73.98948699999998
3, 40.752533, -73.989469
3, 40.752633, -73.98961199999998
3, 40.752408, -73.98916
3, 40.752731, -73.98927399999998
3, 40.752915, -73.989579
3, 40.752713, -73.989109
3, 40.75283, -73.98937499999998
3, 40.752745, -73.989153
3, 40.752657, -73.988967
3, 40.752933, -73.988977
3, 40.752905, -73.98902699999998
3, 40.752852, -73.98869999999998
